,Title,Date,Fragments,,,,Lab/Ops,Principles,,,,
1,"Medicinal experiments, or, A collection of choice and safe remedies for the most part simple and easily prepared, useful in families, and very serviceable to country people / by R. Boyle ; to which is annexed a catalogue of his theological and philosophical books and tracts.",1693-01-01,for aguish distempers take of salt of wormwood  grains crabs,,,,,,,,,
21,"A letter in answer to certain quæries and objections made by a learned Galenist against the theorie and practice of chymical physick wherein the right method of curing of diseases is demonstrated, the possibility of universal medicine evinced, and chymical physick vindicated / by George Acton ...",1670-01-01,man all diseases and of mercury both he and van helmont,,,,,1,,,,
22,"A letter in answer to certain quæries and objections made by a learned Galenist against the theorie and practice of chymical physick wherein the right method of curing of diseases is demonstrated, the possibility of universal medicine evinced, and chymical physick vindicated / by George Acton ...",1670-01-01,a spagyrical physician these are mercury sulphur and salt which being,,,,,1,,,,
25,"A letter in answer to certain quæries and objections made by a learned Galenist against the theorie and practice of chymical physick wherein the right method of curing of diseases is demonstrated, the possibility of universal medicine evinced, and chymical physick vindicated / by George Acton ...",1670-01-01,be affrighted at antimony and mercury and truly if you mean,,,,1,,,,,
27,"A letter in answer to certain quæries and objections made by a learned Galenist against the theorie and practice of chymical physick wherein the right method of curing of diseases is demonstrated, the possibility of universal medicine evinced, and chymical physick vindicated / by George Acton ...",1670-01-01,these are mercury sulphur and salt which being first separated and,,,,,1,,,,
28,"Paracelsus his Aurora, & treasure of the philosophers· As also the water-stone of the wise men; describing the matter of, and manner how to attain the universal tincture. Faithfully Englished· And published by J. H. Oxon.",1659-01-01,an opinion that mercury and sulphur are the matter of mettals,,,,,1,,,,
33,"Paracelsus his Aurora, & treasure of the philosophers· As also the water-stone of the wise men; describing the matter of, and manner how to attain the universal tincture. Faithfully Englished· And published by J. H. Oxon.",1659-01-01,mettals but the mercury and sulphur of the philosophers are incorporated,,,,,1,,,,
34,"Paracelsus his Aurora, & treasure of the philosophers· As also the water-stone of the wise men; describing the matter of, and manner how to attain the universal tincture. Faithfully Englished· And published by J. H. Oxon.",1659-01-01,gross viridity and its unclean sulphur verily yon must beware of,,,,1,,,,,
35,"Archelogia philosophica nova, or, New principles of philosophy containing philosophy in general, metaphysicks or ontology, dynamilogy or a discourse of power, religio philosophi or natural theology, physicks or natural philosophy / by Gideon Harvey ...",1663-01-01,philosopher are described to be sulphureous hot and dry whereas black,,,,,1,,,,
42,"Vindiciæ academiarum containing some briefe animadversions upon Mr Websters book stiled, The examination of academies : together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",1654-01-01,in the mange and of mercury in salivation  magneticall philosophy,,,,1,,,,,
43,"Vindiciæ academiarum containing some briefe animadversions upon Mr Websters book stiled, The examination of academies : together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",1654-01-01,great hypostaticall soule ravishing principles salt sulphur and mercury  magneticall,,,,,1,,,,
44,"Vindiciæ academiarum containing some briefe animadversions upon Mr Websters book stiled, The examination of academies : together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",1654-01-01,ravishing principles salt sulphur and mercury  magneticall phylosophy  atomicall,,,,,1,,,,
45,"Vindiciæ academiarum containing some briefe animadversions upon Mr Websters book stiled, The examination of academies : together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",1654-01-01,hypostaticall soule ravishing principles salt sulphur and mercury  magneticall phylosophy,,,,,1,,,,
46,"Vindiciæ academiarum containing some briefe animadversions upon Mr Websters book stiled, The examination of academies : together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",1654-01-01,of salt at dinner of sulphur in the mange and of,,,,,,,,,
47,"Vindiciæ academiarum containing some briefe animadversions upon Mr Websters book stiled, The examination of academies : together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",1654-01-01,received from them viz of salt at dinner of sulphur in,,,,,,,,,
48,"Vindiciæ academiarum containing some briefe animadversions upon Mr Websters book stiled, The examination of academies : together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",1654-01-01,now and then in the margent as if he quoted a,,,,,,,,,
52,"An apologie of the povver and prouidence of God in the gouernment of the world. Or An examination and censure of the common errour touching natures perpetuall and vniuersall decay diuided into foure bookes: whereof the first treates of this pretended decay in generall, together with some preparatiues thereunto. The second of the pretended decay of the heauens and elements, together with that of the elementary bodies, man only excepted. The third of the pretended decay of mankinde in regard of age and duration, of strength and stature, of arts and wits. The fourth of this pretended decay in matter of manners, together with a large proofe of the future consummation of the world from the testimony of the gentiles, and the vses which we are to draw from the consideration thereof. By G.H. D.D.",1627-01-01,the interposition of the planet mercury which hath sometimes appeared as,,,,,,,,,
53,"An apologie of the povver and prouidence of God in the gouernment of the world. Or An examination and censure of the common errour touching natures perpetuall and vniuersall decay diuided into foure bookes: whereof the first treates of this pretended decay in generall, together with some preparatiues thereunto. The second of the pretended decay of the heauens and elements, together with that of the elementary bodies, man only excepted. The third of the pretended decay of mankinde in regard of age and duration, of strength and stature, of arts and wits. The fourth of this pretended decay in matter of manners, together with a large proofe of the future consummation of the world from the testimony of the gentiles, and the vses which we are to draw from the consideration thereof. By G.H. D.D.",1627-01-01,piscinas nostras circumdederit nisi aquam argentea epistomia fuderint adhuc plebeias fistulas,,,,,,,,,
58,"Basilius Valentinus, monk, of the Order of St. Bennet: his last will and testament Which being alone, he hid under a table of marble, behinde the high-altar of the Cathedral Church, in the Imperial City of Erford: leaving it there to be found by him, whom Gods providence should make worthy of it. Wherein, he sufficiently, declares the wayes he wrought to obtain the philosophers stone: which he taught unto his fellow collegians, so that they all attained the said philosophers stone, whereby not onely the leprous bodies of the impure, and inferior metals are reduced unto the pure and perfect body of gold and silver, but also all manner of diseases whatsoever are cured in the bodies of unhealthfull men, and kept thereby in perfect health unto the prolonging of their lives. A work long expected.",1658-01-01,at h d the noble salt spirit is a conserver of,,,,,1,,,,
