,Title,Date,Fragments,Lab/Ops,Principles
3,"A letter in answer to certain quæries and objections made by a learned Galenist against the theorie and practice of chymical physick wherein the right method of curing of diseases is demonstrated, the possibility of universal medicine evinced, and chymical physick vindicated / by George Acton ...",1670-01-01,be affrighted at antimony and mercury and truly if you mean,1,
7,"Paracelsus his Aurora, & treasure of the philosophers· As also the water-stone of the wise men; describing the matter of, and manner how to attain the universal tincture. Faithfully Englished· And published by J. H. Oxon.",1659-01-01,gross viridity and its unclean sulphur verily yon must beware of,1,
9,"Vindiciæ academiarum containing some briefe animadversions upon Mr Websters book stiled, The examination of academies : together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",1654-01-01,in the mange and of mercury in salivation  magneticall philosophy,1,
38,"The chymical Galenist a treatise, wherein the practise of the ancients is reconcild́ to the new discoveries in the theory of physick, shewing that many of their rules, methods, and medicins, are useful for by George Castle ...",1667-01-01,water streined through earth some salt and earthy parts which after,1,
40,"Moffet-well, or, A topographico-spagyricall description of the minerall wells, at Moffet in Annandale of Scotland translated, and much enlarged, by the author Matthew Mackaile ... ; as also, The oyly-well, or, A topographico-spagyricall description of the oyly-well, at St. Catharines Chappel in the paroch of Libberton ; to these is subjoyned, A character of Mr. Culpeper and his writings, by the same author.",1664-01-01,actions of acide spirits upon sulphureous bodies they would affirm that,1,1
51,"New observations on the natural history of this world of matter, and this world of life in two parts : being a philosophical discourse, grounded upon the Mosaick system of the creation and the flood : to which are added some thoughts concerning paradise, the conflagration by Tho. Robinson ...",1696-01-01,ore the less spangled with sulphur and quick silver are those,1,
56,"A commentary or, exposition vpon the diuine second epistle generall, written by the blessed apostle St. Peter. By Thomas Adams",1633-01-01,conversation their salt is lost salt keepes other things from putrefaction,1,
60,"Chymical, medicinal, and chyrurgical addresses made to Samuel Hartlib, Esquire. Viz. 1. Whether the vrim & thummim were given in the mount, or perfected by art. ... 9. The new postilions, pretended prophetical prognostication, of what shall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,for in its composition that sulphur of saturn will not burn,1,
65,"Chymical, medicinal, and chyrurgical addresses made to Samuel Hartlib, Esquire. Viz. 1. Whether the vrim & thummim were given in the mount, or perfected by art. ... 9. The new postilions, pretended prophetical prognostication, of what shall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,is coagulated in mercury or argent vive it is coagulable in,1,
73,"A medicinal dispensatory, containing the whole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals, the manner of compounding medicaments, and the way to administer them : methodically digested in five books of philosophical and pharmaceutical institutions, three books of physical materials galenical and chymical : together with a most perfect and absolute pharmacopoea or apothecaries shop : accommodated with three useful tables / composed by the illustrious Renodæus ... ; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,was the first that prescribed quicksilver to the cure of this,1,
